,loss,accuracy,val_loss,val_accuracy
0,0.2654498815536499,0.9445667266845703,0.20946678519248962,0.9558618664741516
1,0.1282087117433548,0.9653727412223816,0.14626821875572205,0.9706639647483826
2,0.09566298127174377,0.9720187783241272,0.13803310692310333,0.9720583558082581
3,0.07557898759841919,0.9765270948410034,0.11230359971523285,0.9745789766311646
4,0.06308022141456604,0.9801358580589294,0.1400754302740097,0.9667488932609558
5,0.05295197665691376,0.9830144643783569,0.1052272841334343,0.9761879444122314
6,0.0407123789191246,0.9868242740631104,0.11642492562532425,0.972594678401947
7,0.03759342059493065,0.9877661466598511,0.12254820764064789,0.9738817811012268
8,0.0312533937394619,0.9895970225334167,0.10549770295619965,0.9772605299949646
9,0.0281585231423378,0.9908563494682312,0.14839406311511993,0.9696449637413025
10,0.02577870711684227,0.9917029738426208,0.1431172639131546,0.9692159295082092
11,0.022450879216194153,0.9930046796798706,0.09260518848896027,0.9799420833587646
12,0.0185732152312994,0.9942852258682251,0.11790621280670166,0.9751689434051514
13,0.0172723475843668,0.9948884844779968,0.11843229830265045,0.9763488173484802
14,0.016013337299227715,0.9954070448875427,0.09904146194458008,0.9783331751823425

durasi letnet5: 67.25
