,loss,accuracy,val_loss,val_accuracy
0,0.1693887561559677,0.9349997639656067,0.1259491890668869,0.9564517736434937
1,0.0973798856139183,0.9656901955604553,0.11876332759857178,0.9587579369544983
2,0.07677479088306427,0.9726855158805847,0.08649305254220963,0.9684650897979736
3,0.065458282828331,0.9766329526901245,0.10525523126125336,0.9662662148475647
4,0.0573488213121891,0.9794268012046814,0.0816820040345192,0.9733991026878357
5,0.04855499416589737,0.9827710390090942,0.07836102694272995,0.973720908164978
6,0.042297281324863434,0.9847923517227173,0.0797571986913681,0.9744181036949158
7,0.03722934424877167,0.9865173697471619,0.08233333379030228,0.9746326208114624
8,0.03371262177824974,0.9882423877716064,0.06403848528862,0.9813364744186401
9,0.029753005132079124,0.9893959164619446,0.06718656420707703,0.9805319905281067
10,0.026684029027819633,0.9907822608947754,0.0912914052605629,0.9736672639846802
11,0.023056821897625923,0.9916606545448303,0.05650703236460686,0.9853587746620178
12,0.022854292765259743,0.9919993281364441,0.051345475018024445,0.9869677424430847
13,0.01988227479159832,0.9929623603820801,0.08484186232089996,0.9780113697052002
14,0.017130285501480103,0.9937878251075745,0.06337036937475204,0.9847688674926758

22991.15625
