,loss,accuracy,val_loss,val_accuracy
0,0.0696423128247261,0.9772467613220215,0.07054503262042999,0.9818191528320312
1,0.03330284729599953,0.9894276857376099,0.05999308079481125,0.9817119240760803
2,0.022593680769205093,0.9928036332130432,0.07410220801830292,0.9814437627792358
3,0.018248077481985092,0.994105339050293,0.050025153905153275,0.9863241314888
4,0.014637107960879803,0.9954599142074585,0.06816186755895615,0.9820873141288757
5,0.012230372987687588,0.9962536692619324,0.05381157621741295,0.9880403280258179
6,0.010316760279238224,0.9968357086181641,0.05863998830318451,0.98798668384552
7,0.00954284705221653,0.9969309568405151,0.06785335391759872,0.9871286153793335
8,0.008595941588282585,0.9971214532852173,0.0701165497303009,0.98530513048172
9,0.007459141779690981,0.9975765347480774,0.07089710980653763,0.9871822595596313
10,0.006801467388868332,0.9979469180107117,0.07827147841453552,0.9838035106658936
11,0.006601318717002869,0.9978516697883606,0.09582039713859558,0.9839107394218445
12,0.0053462497889995575,0.9985289573669434,0.09987124055624008,0.9826236367225647
13,0.006250548642128706,0.9981056451797485,0.05992799997329712,0.9892738461494446
14,0.004847821779549122,0.9984760880470276,0.06995727121829987,0.9892738461494446

durasi : 4430.140625
