0,loss,accuracy,val_loss,val_accuracy
0,0.20780381560325623,0.9492337703704834,0.05933493748307228,0.9797866344451904
1,0.06619420647621155,0.9777018427848816,0.041573647409677505,0.9861999154090881
2,0.04891202971339226,0.9840939044952393,0.03132150322198868,0.9902002215385437
3,0.03940455988049507,0.9877767562866211,0.023903708904981613,0.9931846261024475
4,0.03104633279144764,0.9902531504631042,0.017581870779395103,0.9949836730957031
5,0.02584785595536232,0.9920204877853394,0.02507714554667473,0.9937666654586792
6,0.021826643496751785,0.9931740164756775,0.013736214488744736,0.9959149956703186
7,0.018881719559431076,0.9942746758460999,0.01372420322149992,0.9961478114128113
8,0.01720302179455757,0.9948778748512268,0.016126863658428192,0.9947403073310852
9,0.015592982992529869,0.9956398606300354,0.00981739442795515,0.9969415664672852
10,0.013337275013327599,0.9961161017417908,0.007036736700683832,0.998063325881958
11,0.012505145743489265,0.9962959885597229,0.005824592430144548,0.9984443187713623
12,0.011173982173204422,0.9968145489692688,0.00684260344132781,0.998327910900116
13,0.010424667038023472,0.997005045413971,0.00583011656999588,0.9985713362693787
14,0.009006857872009277,0.9975870847702026,0.004577864892780781,0.9989734292030334
